Rk,Player,BPM...3,MP▼,From,To,Age,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM...18,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
47,Tyler Herro,0.1,6123,2020-21,2022-23,21-23,187,92,8.9,107,113,2.5,6.5,0.07,1,-0.9,0.1,3.3,15.1,1.6,16.5,9,19.7,1.1,0.7,12.1,26.2,G,MIA,herroty01
48,P.J. Washington,-0.8,6102,2020-21,2022-23,22-24,202,162,8.6,108,113,2.5,6.2,0.068,-0.9,0.1,-0.8,1.8,13.2,4.3,15.4,9.8,11.4,1.5,3.3,11.9,18.8,F,CHO,washipj01
49,Jonas Valanciunas,1.5,5963,2020-21,2022-23,28-30,215,214,20.9,120,110,12.5,8.4,0.168,1.7,-0.3,1.5,5.2,21.5,12.8,32.1,22.4,11.9,0.8,2.7,13.5,23.3,C,MEMNOP,valanjo01
50,Jordan Clarkson,-0.3,5947,2020-21,2022-23,28-30,208,63,9.5,109,114,4.2,5.3,0.076,1.1,-1.3,-0.3,2.6,15.5,3.5,10.7,7.2,16.9,1.3,0.6,11,28.1,G,UTA,clarkjo01
51,Jarrett Allen,2.4,5893,2020-21,2022-23,22-24,187,169,24.4,130,109,15.3,9.1,0.199,1.7,0.7,2.4,6.6,20.9,11.8,24.8,18.3,8.1,1.1,3.8,12.7,17,C-F,BRKCLE,allenja01
52,Ja Morant,3.7,5890,2020-21,2022-23,21-23,181,179,15.9,113,113,9.6,6.3,0.13,4.1,-0.4,3.7,8.5,21.4,3.5,13.3,8.4,36.2,1.5,0.8,13.4,31.9,G,MEM,moranja01
53,Andrew Wiggins,-0.1,5883,2020-21,2022-23,25-27,181,181,11.3,109,111,3.9,7.4,0.092,0.1,-0.2,-0.1,2.9,14.9,4.3,11.4,7.9,10.8,1.5,2.3,9.1,22.9,F-G,GSW,wiggian01
54,Deandre Ayton,1.6,5863,2020-21,2022-23,22-24,194,194,21.9,123,108,12.7,9.2,0.179,1.4,0.2,1.6,5.3,20.6,10.5,27,18.8,7.8,1,2.7,11.2,20.8,C,PHO,aytonde01
55,Marcus Smart,-0.2,5834,2020-21,2022-23,26-28,180,177,12.6,111,110,4.7,7.9,0.104,-1.2,1,-0.2,2.7,13.2,2.4,9.3,5.9,25.4,2.4,1,16.4,18.2,G,BOS,smartma01
56,Aaron Gordon,0.5,5815,2020-21,2022-23,25-27,193,193,13.9,117,114,8.5,5.4,0.114,1.1,-0.6,0.5,3.7,16.6,7.2,15.2,11.3,14,1.1,2,12,20.4,F,DENORL,gordoaa01
57,Jimmy Butler,7.6,5814,2020-21,2022-23,31-33,173,173,30.8,129,109,22.2,8.5,0.254,5.6,2.1,7.6,14.1,25.9,6.7,14.5,10.6,29.3,2.7,1.2,9.7,26.2,F-G,MIA,butleji01
58,Isaac Okoro,-2.6,5806,2020-21,2022-23,20-22,210,174,9.4,113,114,4.2,5.2,0.077,-2.9,0.4,-2.6,-0.8,9.5,3.7,7.9,5.8,8.1,1.5,1.2,10.9,13,G-F,CLE,okorois01
59,Dennis Schroder,-2,5779,2020-21,2022-23,27-29,191,140,9.5,109,113,3.4,6.2,0.079,-1.7,-0.2,-2,0,12.8,1.6,9.4,5.6,23.7,1.5,0.5,14.7,21.3,G,BOSHOULAL,schrode01
60,Jaden McDaniels,-2.3,5730,2020-21,2022-23,20-22,212,137,8.3,111,115,3.2,5.1,0.069,-2.5,0.1,-2.3,-0.5,10.7,4.2,11.8,7.9,7.1,1.3,3,11.8,14.6,F,MIN,mcdanja02
61,Jordan Poole,-0.5,5729,2020-21,2022-23,21-23,209,101,11.2,111,114,5.5,5.6,0.094,0.6,-1.1,-0.5,2.2,15.3,1.6,9.2,5.5,20.7,1.2,0.8,13.4,27.2,G,GSW,poolejo01
62,Jakob Poeltl,1.4,5721,2020-21,2022-23,25-27,209,189,18.6,123,111,11.3,7.3,0.156,0.5,0.9,1.4,4.9,19.8,13.1,21.6,17.2,13.1,1.3,4.9,14.1,16.7,C,SASTOR,poeltja01
63,Clint Capela,2.3,5670,2020-21,2022-23,26-28,202,199,23.7,131,109,15.3,8.4,0.201,2.4,-0.1,2.3,6.2,22.6,16.2,31.9,24.1,5.2,1.2,4.7,7.6,17,C,ATL,capelca01
64,John Collins,0.7,5641,2020-21,2022-23,23-25,188,187,16,121,114,10.6,5.4,0.136,0.7,0,0.7,3.9,17.4,5.6,20.5,13.1,6.9,0.9,3,8.6,19.8,F,ATL,collijo01
65,Ivica Zubac,0.2,5631,2020-21,2022-23,23-25,224,185,20.8,128,110,12.9,8,0.178,-0.3,0.4,0.2,3.1,18.2,12.8,24.4,18.8,7.4,0.8,3.7,15.6,15.6,C,LAC,zubaciv01
66,Desmond Bane,2,5626,2020-21,2022-23,22-24,202,151,16,118,112,9.5,6.4,0.136,1.9,0.1,2,5.7,16.6,2.2,13.6,7.8,15.1,1.6,1.1,9.8,22.2,G,MEM,banede01
67,Draymond Green,1.7,5608,2020-21,2022-23,30-32,182,180,13,111,108,3.7,9.3,0.111,-1.6,3.3,1.7,5.3,13.1,3.3,21.7,12.7,32,2,2.6,30,13.4,F,GSW,greendr01
68,Tyrese Maxey,0.3,5601,2020-21,2022-23,20-22,196,123,14.6,119,115,9.9,4.7,0.125,1.1,-0.9,0.3,3.2,16.2,1.2,9.2,5.3,18.4,1.1,0.9,7.5,22.1,G,PHI,maxeyty01
69,Josh Hart,0.5,5594,2020-21,2022-23,25-27,177,109,13.1,120,114,8,5.1,0.113,-0.2,0.7,0.5,3.6,14.3,5.1,22.1,13.5,15.7,1.6,0.8,14.6,14.7,G,NOPNYKPOR,hartjo01
70,Mike Conley,2.8,5585,2020-21,2022-23,33-35,190,189,18.4,123,113,12.5,5.9,0.158,2.2,0.6,2.8,6.8,16.9,2.3,8.7,5.6,29.1,2.1,0.7,12.6,19.8,G,MINUTA,conlemi01
71,Derrick White,1.6,5582,2020-21,2022-23,26-28,193,154,14.4,117,113,8.2,6.2,0.124,0.8,0.8,1.6,5.1,15.1,2,10.7,6.4,20.4,1.3,2.6,10.3,19.4,G,BOSSAS,whitede01
72,DAngelo Russell,1.2,5577,2020-21,2022-23,24-26,178,162,11,113,116,7,4,0.095,2.4,-1.2,1.2,4.5,16.6,1.5,9.2,5.3,30.8,1.5,1.1,14,25,G,LALMIN,russeda01
73,Jerami Grant,0.6,5575,2020-21,2022-23,26-28,164,164,9.6,112,117,5.9,3.7,0.082,1.5,-0.9,0.6,3.6,16.3,2.3,12.4,7.3,12.2,1.1,2.5,9.5,25.4,F,DETPOR,grantje01
