playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey,playerRole
202683,"Enes Freedom",0.33,168,0.24,168,0.09,207,0.39,126,0.38,82,0.01,258,0.04,266,0.14,180,-0.1,381,1.79,21,0.69,46,1.1,33,-0.58,569,-0.46,567,-0.11,412,0.69,125,0.53,116,0.16,203,"2021-22",1610612738,"BOS","202683_2021-22","No Role Available"
1630271,"Brodric Thomas",0.06,244,-0.04,342,0.1,202,0.17,187,0.11,192,0.06,211,-0.24,450,-0.2,451,-0.04,335,-0.02,293,-0.05,335,0.03,275,-0.27,484,-0.1,393,-0.17,462,0.03,254,0.01,291,0.04,238,"2021-22",1610612738,"BOS","1630271_2021-22","No Role Available"
202738,"Isaiah Thomas",-0.06,325,0.07,245,-0.13,383,-0.05,319,0.04,244,-0.09,370,-0.34,482,-0.16,421,-0.18,429,-0.77,506,-0.37,490,-0.4,454,0.22,151,0.15,152,0.07,202,-0.34,398,0.01,276,-0.34,421,"2021-22",1610612747,"LAL","202738_2021-22","No Role Available"
203471,"Dennis Schroder",-0.98,547,0.19,186,-1.17,590,-1.18,592,-0.14,430,-1.03,600,-0.33,481,-0.24,467,-0.09,370,-1.42,584,0.02,285,-1.44,599,0.63,36,0.43,53,0.2,115,-1.74,576,0.02,269,-1.75,598,"2021-22",1610612738,"BOS","203471_2021-22","No Role Available"
1628400,"Semi Ojeleye",-1.48,582,-0.73,557,-0.75,551,-1.32,597,-0.49,555,-0.83,595,0.09,227,0.04,250,0.06,242,-0.86,519,-0.67,562,-0.19,403,0.14,188,0.04,237,0.1,177,-2.02,585,-0.75,536,-1.27,579,"2021-22",1610612749,"MIL","1628400_2021-22","No Role Available"
1628982,"Melvin Frazier Jr.",-0.73,524,-0.48,514,-0.24,433,-0.68,554,-0.3,497,-0.38,534,-0.25,451,-0.02,312,-0.22,450,-0.31,411,-0.15,402,-0.16,387,0.01,282,-0.24,489,0.25,95,-1.24,544,-0.64,514,-0.6,498,"2021-22",1610612760,"OKC","1628982_2021-22","No Role Available"
1628994,"George King",-0.31,419,-0.22,438,-0.09,350,-0.08,336,-0.04,347,-0.03,312,-0.08,365,-0.14,412,0.07,227,-0.27,401,-0.14,400,-0.13,375,-0.12,393,-0.04,344,-0.08,389,-0.34,395,-0.23,422,-0.11,334,"2021-22",1610612742,"DAL","1628994_2021-22","No Role Available"
1629035,"Carsen Edwards",-0.5,477,-0.31,476,-0.18,406,-0.03,307,0.01,307,-0.02,299,-0.07,362,0.02,259,-0.09,373,-0.19,372,-0.28,454,0.09,238,-0.14,409,-0.02,323,-0.12,417,-0.21,361,-0.14,375,-0.07,311,"2021-22",1610612765,"DET","1629035_2021-22","No Role Available"
1630578,"Alperen Sengun",-1.97,595,-1.22,593,-0.74,549,-0.64,548,-0.7,587,0.06,216,0.04,267,0.01,304,0.05,247,0.44,145,-0.62,549,1.06,34,-0.55,563,0.42,59,-0.97,605,-1.56,568,-1.2,579,-0.36,430,"2021-22",1610612745,"HOU","1630578_2021-22","No Role Available"
1630579,"Jericho Sims",0.01,296,0.12,224,-0.13,381,0.48,104,0.34,92,0.13,173,0.44,100,0.13,188,0.3,113,-0.04,305,0.37,112,-0.41,456,0.04,250,-0.07,370,0.11,174,0.9,107,0.64,100,0.26,180,"2021-22",1610612752,"NYK","1630579_2021-22","No Role Available"
1630581,"Josh Giddey",-1.58,584,0.17,201,-1.74,603,-0.08,339,0.57,37,-0.65,579,-0.15,407,0.69,31,-0.84,595,-0.89,523,-0.76,576,-0.12,374,-0.36,504,-0.1,395,-0.26,522,-1.23,541,0.61,103,-1.84,600,"2021-22",1610612760,"OKC","1630581_2021-22","No Role Available"
1629603,"Mamadi Diakite",-0.7,519,-0.08,374,-0.62,526,0.07,220,0.21,137,-0.14,412,-0.13,396,-0.02,311,-0.11,384,0.32,173,-0.05,339,0.37,135,-0.37,510,0.02,265,-0.38,565,-0.06,304,0.47,122,-0.53,481,"2021-22",1610612760,"OKC","1629603_2021-22","No Role Available"
1629604,"CJ Elleby",-1.08,558,-0.44,504,-0.64,531,-1.5,602,-0.9,601,-0.59,567,0.43,104,-0.06,347,0.48,67,-0.12,348,-0.58,542,0.46,113,0.25,133,0.43,55,-0.18,470,-2.23,589,-1.19,577,-1.04,555,"2021-22",1610612757,"POR","1629604_2021-22","No Role Available"
1629620,"Justin Robinson",-1.35,577,-0.35,488,-1,579,-0.6,541,-0.06,364,-0.55,558,0.1,226,-0.16,422,0.25,130,0.05,261,0.2,173,-0.15,384,-0.37,508,-0.09,391,-0.27,527,-1.48,562,-0.22,415,-1.26,578,"2021-22",1610612749,"MIL","1629620_2021-22","No Role Available"
1629622,"Max Strus",0.02,268,0.18,197,-0.16,394,0.79,46,-0.11,409,0.89,16,-0.79,568,-0.3,499,-0.49,543,1.07,58,1.06,18,0.02,283,-0.35,502,-0.26,502,-0.08,391,0.86,112,-0.21,411,1.06,53,"2021-22",1610612748,"MIA","1629622_2021-22","No Role Available"
1629004,"Svi Mykhailiuk",-0.15,371,0.15,212,-0.3,452,-0.6,539,0.02,266,-0.61,570,-0.46,518,-0.36,518,-0.1,380,-0.67,490,-0.5,520,-0.17,396,0.36,93,0.23,121,0.13,157,-0.97,517,-0.19,406,-0.77,532,"2021-22",1610612761,"TOR","1629004_2021-22","No Role Available"
1629005,"Malik Newman",0.05,251,0.03,275,0.02,252,0.05,237,0.06,229,0.01,289,-0.06,356,-0.08,370,0.02,278,-0.13,353,-0.12,387,0.01,300,0.01,292,0.01,306,0.01,280,0.03,253,0.04,250,0.01,267,"2021-22",1610612739,"CLE","1629005_2021-22","No Role Available"
1629006,"Josh Okogie",0.85,74,1.23,6,-0.38,482,-0.28,444,0.12,182,-0.4,538,0.41,108,0.12,191,0.29,114,0.42,147,0.33,121,0.1,232,0.67,31,0.77,11,-0.1,404,0.06,238,0.95,57,-0.88,544,"2021-22",1610612750,"MIN","1629006_2021-22","No Role Available"
1629008,"Michael Porter Jr.",0.71,99,0.85,34,-0.13,382,0.63,70,0.54,48,0.09,196,-0.13,399,0.38,91,-0.52,553,-0.08,328,0.38,111,-0.46,478,0.01,280,0.35,77,-0.34,552,0.93,100,1.43,19,-0.5,472,"2021-22",1610612743,"DEN","1629008_2021-22","No Role Available"
1629011,"Mitchell Robinson",0.35,159,-0.21,433,0.56,96,-0.59,537,-0.18,451,-0.42,542,1.14,11,0.5,61,0.64,36,2.79,3,0.84,32,1.95,7,-0.39,512,-0.34,535,-0.05,348,-0.23,366,-0.14,376,-0.1,323,"2021-22",1610612752,"NYK","1629011_2021-22","No Role Available"
1629012,"Collin Sexton",-0.46,467,0.17,198,-0.63,530,-0.38,491,-0.03,338,-0.35,520,0.42,107,0.61,43,-0.2,436,-0.18,366,-0.19,417,0.02,282,-0.48,549,0.1,181,-0.58,593,-0.85,505,0.21,175,-1.05,556,"2021-22",1610612739,"CLE","1629012_2021-22","No Role Available"
1629013,"Landry Shamet",0.29,173,0.91,27,-0.61,524,0.06,227,0.36,89,-0.29,490,0.2,172,0.55,50,-0.35,504,-0.69,492,0.13,208,-0.82,546,0.13,196,0.22,122,-0.1,400,0.32,181,0.97,54,-0.65,510,"2021-22",1610612756,"PHX","1629013_2021-22","No Role Available"
1629014,"Anfernee Simons",-0.13,361,-0.3,471,0.17,170,-0.12,361,-0.14,428,0.02,248,-0.26,457,-0.13,402,-0.13,397,0.64,114,0.01,298,0.64,83,0.51,59,0.06,211,0.45,45,0.54,145,-0.12,362,0.65,105,"2021-22",1610612757,"POR","1629014_2021-22","No Role Available"
1629018,"Gary Trent Jr.",1.39,32,0.17,200,1.22,23,-0.56,531,-0.68,584,0.12,177,0.2,169,-0.04,323,0.24,136,-0.11,343,-0.42,502,0.32,151,1.49,1,0.68,17,0.81,4,0.92,102,-0.44,475,1.37,33,"2021-22",1610612761,"TOR","1629018_2021-22","No Role Available"
1629020,"Jarred Vanderbilt",0.08,236,-0.42,499,0.5,104,0.66,63,0.09,202,0.57,47,-0.14,403,-0.18,437,0.04,258,2.46,4,-0.02,320,2.48,2,-0.23,465,0.25,114,-0.48,579,1.63,48,0.35,140,1.28,39,"2021-22",1610612750,"MIN","1629020_2021-22","No Role Available"
1629833,"Keljin Blevins",-1.97,596,-1.05,585,-0.93,568,-1.07,588,-0.69,586,-0.38,529,-1.16,598,-0.59,567,-0.57,570,-1.59,595,-1.02,597,-0.56,503,-0.14,404,0.01,292,-0.13,431,-2.32,592,-1.46,590,-0.86,541,"2021-22",1610612757,"POR","1629833_2021-22","No Role Available"
1629873,"Jaysean Paige",-0.17,378,-0.07,361,-0.1,365,0.01,273,0.08,212,-0.08,357,-0.17,413,-0.16,424,0.01,303,-0.06,315,0.01,296,-0.08,346,-0.08,371,-0.06,356,-0.03,326,-0.16,342,0.01,275,-0.16,361,"2021-22",1610612765,"DET","1629873_2021-22","No Role Available"
1629875,"Xavier Moon",-0.25,402,-0.31,475,0.05,229,0.16,192,0.07,221,0.09,201,0.1,222,0.13,189,-0.03,326,-0.96,533,-0.48,516,-0.49,487,-0.06,349,-0.11,408,0.05,221,-0.05,294,-0.17,395,0.12,211,"2021-22",1610612746,"LAC","1629875_2021-22","No Role Available"
1629962,"Devin Cannady",-0.04,317,0.07,251,-0.11,369,-0.04,316,0.03,253,-0.07,355,0.35,129,0.32,111,0.03,268,0.05,262,0.24,153,-0.19,404,0.17,173,-0.06,366,0.24,99,0.15,217,0.16,193,0.01,278,"2021-22",1610612753,"ORL","1629962_2021-22","No Role Available"
